KG id,KG name,Sparql endpoint,SPARQL endpoint URL,Availability of RDF dump (metadata),Availability of RDF dump (query),URL for download the dataset,Inactive links,Age of data,Modification date,Percentage of data updated,Time elapsed since last modification,Historical updates,Languages (query),Languages (metadata),Serialization formats,Availability for download (query),Availability for download (metadata),Use HTTPS,Requires authentication,Average length of URIs (subject),Standard deviation lenght URIs (subject),Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Average length of URIs (predicate),Standard deviation lenght URIs (predicate),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Average length of URIs (object),Standard deviation lenght URIs (object),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),Use RDF structures,License machine redeable (metadata),License machine redeable (query),License human redeable,Minimum latency,25th percentile latency,Median latency,75th percentile latency,Maximum latency,Average latency,Standard deviation of latency,Minimum throughput,25th percentile throughput,Median throughput,75th percentile throughput,Maximum throughput,Average throughput, Standard deviation of throughput, Number of triples (metadata),Number of triples (query),Number of entities,Number of entities counted with regex,Number of property,Dataset update frequency,Degree of connection,Clustering coefficient,Centrality,Number of samAs chains,External links,PageRank,Description,Dataset URL,Is on a trusted provider list,Trust value,Vocabularies,Author (query),Author (metadata),Contributor,Publisher,Sources,Signed, Number of triples,Number of triples linked,Interlinking completeness,New vocabularies defined in the dataset,New terms defined in the dataset,Number of labels/comments present on the data, Percentage of triples with labels,Regex uri,Presence of example,Number of blank nodes,Uses RDF structures,Deprecated classes/properties used,Entities as member of disjoint class,Triples with misplaced property problem,Triples with misplaced class problem,Ontology Hijacking problem,Undefined class used without declaration,Undefined properties used without declaration,Extensional conciseness,Intensional conciseness,Triples with empty annotation problem,Triples with white space in annotation(at the beginning or at the end),Triples with malformed data type literals problem,Functional properties with inconsistent values,Invalid usage of inverse-functional properties,Number of triples updated,Score,Normalized score,Limited,Offline dumps,Url file VoID,Availability VoID file,MinTPNoOff,MeanTPNoOff,MaxTPNoOff,sdTPNoOff,URIs Deferenceability,Verifiability score,Volatility score,Representational-Consistency score,Versatility score,Understandability score
aliada-scanbit-net,aliada-scanbit-net,-,http://aliada.scanbit.net:8891/sparql,0,-,[],True,-,-,-,-,-,-,{},-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Creative Commons CCZero - cc-zero -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20055,-,-,-,-,-,13,"0,167","0,007",-,"['Name:marc-codes, value:2', 'Name:bluk-bnb, value:0', 'Name:open-library, value:75', 'Name:hungarian-national-library-catalog, value:24', 'Name:geonames, value:6', 'Name:viaf, value:227', 'Name:lobid-resources, value:84', 'Name:lobid-organisations, value:9', 'Name:freebase, value:291', 'Name:lcsh, value:0', 'Name:europeana-lod-v1, value:0', 'Name:dbpedia, value:1695', 'Name:datos-bne-es, value:551']","8,178508021951718e-05",Open linked data from the Library and Museum of ARTIUM,http://biblioteca.artium.org,False,"0,75",-,-,False,-,-,Web:http://biblioteca.artium.org Name:Aliada Consortium Email:info@aliada-project.eu,-,20055,2964,0.15,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.112,11.242,-,"['http://aliada.scanbit.net:8891/datadumps/bib_1472739183281_20160901000001.nt.gz', 'http://aliada.scanbit.net:8891/datadumps/links_1472739186414_20160901000001.nt.gz']",http://biblioteca.artium.org/.well-known/void,VoID file offline,-,-,-,-,-,0.165,0.0,0.0,0.0,0.25
am-collections-online,Auckland Museum Collections Online,-,http://api.aucklandmuseum.com,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Creative Commons Attribution - cc-by -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,[],{},,-,[],None,"Search more than one million catalogue records from Auckland Museum’s natural sciences, human history and documentary heritage collections.",api.aucklandmuseum.com,-,"0,75",-,-,"Name: None, Email:CollectionEnquiries@aucklandmuseum.com",-,-,Web:api.aucklandmuseum.com Name:Absent Email:CollectionEnquiries@aucklandmuseum.com,-,0,0,0.0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.071,7.075,-,[],api.aucklandmuseum.com/.well-known/void,VoID file offline,-,-,-,-,-,0.3316666666666666,0.0,0.0,0.0,0.0
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,-,http://data.dive.beeldengeluid.nl/sparql/,-1,-,[],True,-,-,-,-,-,-,{},-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Creative Commons Attribution Share-Alike - cc-by-sa -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000000,-,-,-,-,-,4,"0,500","0,002",-,"['Name:geonames-semantic-web, value:658', 'Name:dbpedia, value:43']","8,179847211476199e-05","The Amsterdam Museum dataset describes more than 70.000 cultural heritage objects related to the city of Amsterdam described by the museum. 

The metadata was retrieved from an XML Web API of the museum's Adlib collection database and converted to RDF compliant with the Europeana Data Model (EDM). This makes the Amsterdam Museum data the first of its kind to be officially converted and made available in this format.

",http://semanticweb.cs.vu.nl/lod/am/,False,"0,75",-,-,"Name: None, Email:v.de.boer@vu.nl",-,-,"Web:http://semanticweb.cs.vu.nl/lod/am/ Name:Victor de Boer, Jan Wielemaker, Jacco van Ossenbruggen, Antoine Isaac, Guus Schreiber Email:v.de.boer@vu.nl",-,5000000,701,0.0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,9.992,-,[],http://semanticweb.cs.vu.nl/lod/am//.well-known/void,VoID file offline,-,-,-,-,-,0.165,0.0,0.0,0.0,0.0
ASCDC- NTM-Formosan-Aborigines,,-,,-1,-,[],False,-,-,-,-,-,-,absent,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,3,"0,333","0,002",-,[],"0,0001355468441114724",False,absent,-,"0,0",-,-,False,-,-,Web:absent Name:absent Email:absent,-,0,0,0.0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.37,-,[],,VoID file absent,-,-,-,-,-,,,,,
ASCDC-NMMBA-Aquatic-Animals-in-Taiwan,Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in-Taiwan),-,https://data.ascdc.tw/en/sparql.php,1,-,"['https://data.ascdc.tw/en/index.php', 'https://data.ascdc.tw/dataset/ASCDC-NMMBA-BIO.ttl']",False,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-zero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73696,-,-,-,-,-,2,0,"0,001",-,"['Name:geonames-semantic-web, value:3947', 'Name:viaf, value:21765']","8,558817967121051e-05","The LOD dataset of ASCDC_Research on the Aquatic Animals in Taiwan and its Neighborhood Area (NMMBA-Aquatic-Animals-in- Taiwan) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from the “Research on the Aquatic Animals in Taiwan and its Neighborhood Area” (臺灣及鄰近地區水域動物相典藏之研究：魚類及蝦、蟹類計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄, https://catalog.digitalarchives.tw/Organization/List.jsp?CID=4892). Originally, the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA, 國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of aquatic animals collected by the NMMBA and can serve as a database for the study of species in the coastal waters in and around Taiwan. Containing 7,311 data records and 73,696 triples, the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0), while the digitized items are under CC-BY-NC-SA.",https://data.ascdc.tw/en/data.php,-,"0,75",-,-,"Name: absent, email: luluyen1210@gmail.com",-,-,"Web:https://data.ascdc.tw/en/data.php Name:Dr. Shu-Jiun Sophy Chen (Academia Sinica Center for Digital Cultures, Taiwan R.O.C.) Email:sophy@gate.sinica.edu.tw",-,73696,25712,0.35,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.096,9.575,-,[],https://data.ascdc.tw/en/data.php/.well-known/void,VoID file offline,-,-,-,-,-,0.3316666666666666,0.0,0.0,0.0,0.0
ASCDC-NMMBA-Fish-Otoliths,The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths),-,https://data.ascdc.tw/en/sparql.php,1,-,"['https://data.ascdc.tw/en/index.php', 'https://data.ascdc.tw/dataset/ASCDC-NMMBA-BIO.ttl']",False,-,-,-,-,-,-,absent,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-zero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,2,0,"0,001",-,"['Name:geonames-semantic-web, value:340', 'Name:viaf, value:3608']","8,193617732252255e-05","The LOD dataset of ASCDC_The Digital Collection of Taiwan's Fish Otoliths (NMMBA-Fish-Otoliths) was created by the Academia Sinica Center for Digital Cultures (ASCDC) and based on the metadata from “The Digital Collection of Taiwan's Fish Otoliths” (國立海洋生物博物館台灣耳石典藏計畫) in the “Taiwan Union Catalog” (數位典藏與數位學習聯合目錄, https://catalog.digitalarchives.tw/Organization/List.jsp?CID=57275). Originally, the metadata was established by the National Museum of Marine Biology and Aquarium (NMMBA, 國立海洋生物博物館) in Taiwan (ROC). It provides information on specimens of fish otoliths collected by the NMMBA and can serve as a database for the study of fish species in the coastal waters in and around Taiwan. Containing 1,804 data records and 191,464 triples, the textual content within the LOD dataset is licensed under the Creative Commons Attribution (CC 0), while the digitized items are under CC-BY-NC-SA.",https://data.ascdc.tw/en/data.php,-,"0,75",-,-,"Name: absent, email: luluyen1210@gmail.com",-,-,"Web:https://data.ascdc.tw/en/data.php Name:Dr. Shu-Jiun Sophy Chen (Academia Sinica Center for Digital Cultures, Taiwan R.O.C.) Email:sophy@gate.sinica.edu.tw",-,0,3948,0.0,-,-,-,-,-,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.096,9.575,-,[],https://data.ascdc.tw/en/data.php/.well-known/void,VoID file offline,-,-,-,-,-,0.3316666666666666,0.0,0.0,0.0,0.0
bncf-ns,Thesaurus BNCF,Available,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,1,False,"['https://github.com/m-pepe/BNCF-NS/raw/main/ns201803.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201810.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201904.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201910.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202004.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202010.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202104.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202110.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202203.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202210.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202303.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202310.zip']",False,2010-11-30,False,0.0%,-,[],['it'],absent,[],False,1,True,False,"29,761382436149695 (out of 817224 triples considered)","0,5110362443669328",26,"30,0","30,0","30,0",33,"41,68421052631579 (out of 38 triples considered)","5,042478834639163",31,"38,0","43,0","45,0",49,"34,7922643065414 (out of 313544 triples considered)","7,1242719649067645",26,"30,0","30,0","38,0",98,False,http://www.opendefinition.org/licenses/cc-by,https://creativecommons.org/licenses/by/4.0/deed.it,False,"0,138","0,156","0,170","0,199","0,245","0,182","0,037",5,"6,0","6,5","7,0",7,"6,4","0,66332495807108",817224,817224,False,-,0,[],6,"0,400","0,003",0,"['Name:getty-aat, value:101', 'Name:lcsh, value:16625', 'Name:dnb-gemeinsame-normdatei, value:8915', 'Name:datos-bne-es, value:5804', 'Name:data-bnf-fr, value:14961', 'Name:agrovoc, value:3094', 'Name:wikidata, value:12577', 'Name:eurovoc, value:175']","0,00010052517541125767","Nuovo soggettario (NS), edited by the National Central Library of Florence, is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations, and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries, and for museums, multimedia libraries, archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 71.760  terms and it is updated on a regular basis.
All metadata can be used, in accordance with Creative Commons Attribution 4.0 licence.",http://thes.bncf.firenze.sbn.it/,-,"0,75",[],[],"Name: absent, email: maria.pepe@cultura.gov.it",[],[],Web:http://thes.bncf.firenze.sbn.it/ Name:BNCF - settore Ricerche e strumenti di indicizzazione semantica Email:bnc-fi.nuovosoggettario@cultura.gov.it,False,817224,62252,0.08,[],[],136460,16.70%,,False,0,False,-,-,1.0,1.0,True,1.0,0.999997552690572,0.9873816725891554 (out of 817224 triples considered),-,"1,0","0,9999706873809174","1,0","1,0","1,0",False,0.512,51.237,False,[],http://thes.bncf.firenze.sbn.it//.well-known/void,VoID file available,6,"6,4",7,"0,66332495807108",1.0,0.3316666666666666,0.0,1.0,0.6666666666666666,0.0421424217737761
british-museum-collection,British Museum Collection,-,http://collection.britishmuseum.org/Sparql,-1,-,[],True,-,-,-,-,-,-,{},-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Other (Attribution) - other-at -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105635648,-,-,-,-,-,[],{},,-,[],None,"Welcome to this Linked Data and SPARQL service. It provides access to the same collection data available through the Museum?s web presented Collection Online, but in a computer readable format. The use of the W3C open data standard, RDF, allows the Museum?s collection data to join and relate to a growing body of linked data published by other organisations around the world interested in promoting accessibility and collaboration.

The data has also been organised using the CIDOC-CRM (Conceptual Reference Model) crucial for harmonising with other cultural heritage data. The current version is beta and development work continues to improve the service. We hope that the service will be used by the community to develop friendly web applications that are freely available to the community. 

Licence available at http://collection.britishmuseum.org/Licensing",http://collection.britishmuseum.org,False,"0,75",-,-,False,-,-,Web:http://collection.britishmuseum.org Name:Dominic Oldman Email:doldman@britishmuseum.org,-,105635648,0,0.0,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.075,7.492,-,[],http://collection.britishmuseum.org/.well-known/void,VoID file offline,-,-,-,-,-,0.165,0.0,0.0,0.0,0.25
data-hnm-hu,data-hnm-hu - Hungarian National Museum Datasets,-,http://data.hnm.hu/sparql,0,-,[],True,-,-,-,-,-,-,absent,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,http://www.opendefinition.org/licenses/cc-zero,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1993963,-,-,-,-,-,5,"0,300","0,003",-,"['Name:data-bnf-fr, value:10333', 'Name:http://isni.org/isni/, value:18675', 'Name:library-of-congress-name-authority-file, value:19396', 'Name:viaf, value:21512', 'Name:wikidata, value:9329']","0,0003454696618470467","Open linked data from the Hungarian National Museum. 
The following datasets and subsets are available:

* Collections (dataset, short  name: colls)
 * Bibliographic Data of the Central Library (subset, short name: colls-lib-bib)

The Bibliographic Data of the Central Library contains the entire online catalogue of the library in BIBFRAME format and provides links to external sources including: [BNF](http://data.bnf.fr), [ISNI](http://isni.org), [LC NAF](http://id.loc.gov/authorities/names.html), [VIAF](http:viaf.org) and [Wikidata](http://wikidata.org).

One of the aims of this publication is to make Hungarian librarians more familiar with BIBFRAME. In order to achieve this the BIBFRAME and the MARC descriptions are cross linked. Knowing the BIBFRAME URI of an instance:

[http://data.hnm.hu/id/colls/lib/bib/Instance/MNMKVT19563](http://data.hnm.hu/id/colls/lib/bib/Instance/MNMKVT19563)

one can get the MARC description by appending "".opac"" to the URI:

[http://data.hnm.hu/doc/colls/lib/bib/Instance/MNMKVT19563.opac](http://data.hnm.hu/doc/colls/lib/bib/Instance/MNMKVT19563.opac).

Knowing the permalink of an OPAC record 

[http://link.hnm.hu/lib/bib/MNMKVT19563](http://link.hnm.hu/lib/bib/MNMKVT19563)

one can get the BIBRAME description in HTML format by appending .rdf to it:

[http://link.hnm.hu/lib/bib/MNMKVT19563.rdf](http://link.hnm.hu/lib/bib/MNMKVT19563.rdf).

Other formats can also be invoked by appending the following extensions:
.rdf-ttl, .rdf-nt, .rdf-json, .rdf-jsonld, and .rdf-rdf. The .rdf-rdf extentsion gives back the rdf-xml format.

Clicking the BIBFRAME icon in the OPAC also leads to the BIBFRAME description.

The OPAC pages also support the link rel discovery service in order for the crawlers and other programs to find the RDF descriptions in different formats automatically.

The project was carried out in partnership with @Cult srl., Italy (MARC BIBFRAME conversion) and Monguz Ltd., Hungary (OPAC modification). We also used some parts of the ALIADA open source tool.

The @Cult MARC21 BIBFRAME conversion have the following main features:

- Work recognition
- Entity recognition
- Name entities are linked to external datasets.

The BIBFRAME dataset will be updated periodically as BIBFRAME and the conversion evolves. ",http://hnm.hu,-,"0,75",-,-,False,-,-,Web:http://hnm.hu Name:Hungarian National Museum Email:adam.horvath@hnm.hu,-,1993963,79245,0.04,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.112,11.242,-,['http://data.hnm.hu/datadumps/colls_lib_bib_20170412000001.zip'],http://hnm.hu/.well-known/void,VoID file offline,-,-,-,-,-,0.165,0.0,0.0,0.0,0.25
data-szepmuveszeti-hu,data-szepmuveszeti-hu,-,http://data.szepmuveszeti.hu/sparql,0,-,[],True,-,-,-,-,-,-,{},-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Creative Commons CCZero - cc-zero -,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334699,-,-,-,-,-,13,"0,167","0,007",-,"['Name:marc-codes, value:1', 'Name:bluk-bnb, value:0', 'Name:open-library, value:0', 'Name:hungarian-national-library-catalog, value:704', 'Name:geonames, value:6', 'Name:viaf, value:0', 'Name:lobid-resources, value:0', 'Name:lobid-organisations, value:0', 'Name:freebase, value:848', 'Name:lcsh, value:0', 'Name:europeana-lod-v1, value:627', 'Name:dbpedia, value:329', 'Name:datos-bne-es, value:48']","8,231680171401777e-05",Open linked data from the Museum of Fine Arts Budapest,http://www.szepmuveszeti.hu,False,"0,75",-,-,False,-,-,Web:http://www.szepmuveszeti.hu Name:Museum of Fine Arts Budapest Email:aliada@szepmuveszeti.hu,-,334699,2563,0.01,-,-,-,-,-,True,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,9.992,-,"['http://data.szepmuveszeti.hu/datadumps/museum_1446034453917_20151028000001.nt.gz', 'http://data.szepmuveszeti.hu/datadumps/links_1446034465154_20151028000001.nt.gz']",http://www.szepmuveszeti.hu/.well-known/void,VoID file offline,-,-,-,-,-,0.165,0.0,0.0,0.0,0.0
