Question_ID	Request	Expected_Response	Actual_Response	Voter 1	Voter 2	Voter 3	Colonna 1	FINAL						
TA_3	Is the data dump of the Allie Abbreviation And Long Form dataset always up?	No, it is discontinuous	 No, the data dump of the Allie Abbreviation And Long Form dataset is not always up. There are instances where the data dump is offline or missing. 	1	1	1		1						
TA_4	Is the accuracy of NoiPA constant over time?	No	The accuracy of NoiPA appears to be consistent over time, with a score of 0.999999 for both 2025-05-04 and 2025-07-13. This indicates that the accuracy of NoiPA has remained stable across these two timestamps. 	0	0	0		0						
TA_4	Does the accuracy of NoiPA remain consistent over time?	No	The accuracy of NoiPA has remained consistent over time, with a measure value of 0.999999 for the measure "Accuracy score" across different timestamps.	0	0	0		0						
TA_5	What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?	91 days	 The longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been available is 1 year. 	0	0	0		0						
TA_5	For how long, without interruption, has the Allie Abbreviation And Long Form dataset data dump remained up?	91 days	 The Allie Abbreviation And Long Form dataset data dump has been up without interruption for 999 days. 	0	0	0		0						
Co_1	Which dataset has the highest number of triples?	DBLP	 The dataset with the highest number of triples is "w3c-wordnet" with 74129674000000 triples. 	0	0	0		0						
Co_1	Which is the biggest dataset among the compared ones?	DBLP	The biggest dataset among the compared ones is "environment-agency-bathing-water-quality" with 2809412 (out of 1000000 triples considered). 	0	0	0		0						
Co_2	Which is the dataset performing worst in the license metric?	CIDOC-CRM	 The dataset performing worst in the license metric is "micro-coronavirus" with a Licensing score of 0.000000.	0	0	0		0						
Co_2	Which is the worst performing dataset in the license metric?	CIDOC-CRM	 The worst performing dataset in the license metric is "w3c-wordnet" with a licensing score of 0.000000.	0	0	0		0						
Co_3	What is the mean score for the accuracy dimension?	0.50	The mean score for the accuracy dimension is computed as a linear combination of the individual accuracy metrics scores, resulting in a value between 0 and 1. The best value is 1.	0	0	0		0						
Co_3	What is the mean value of the accuracy dimension?	0.50	 The mean value of the accuracy dimension is 0.5.	1	1	1		1						
Co_4	What is the best observed score in the Verifiability dimension?	0.4983 (NoiPA, Allie, Bathing Water Quality)	 The best observed score in the Verifiability dimension is 1.0.	0	0	0		0						
Co_4	What is the highest observed Verifiability score?	0.4983 (NoiPA, Allie, Bathing Water Quality)	 The highest observed Verifiability score is 1.0.	0	0	0		0						
Co_5	What are the highest-performing dimensions in September 2025?	License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability	The highest-performing dimensions in September 2025 are:  1. **Performance score**: This dimension has the highest overall score for the performance dimension computed as a linear combination of the individual performance metrics scores. 2. **Availability score**: This dimension measures the overall availability of the datasets, which is crucial for their usability and accessibility. 3. **Currency score**: This dimension evaluates how up-to-date the datasets are, ensuring that users have access to the most current information. 4. **Interpretability score**: This dimension assesses how well the datasets can be understood by both humans and machines, ensuring that the data is not only accessible but also interpretable. 5. **Conciseness score**: This dimension evaluates the efficiency and conciseness of the datasets, ensuring that they are not only comprehensive but also efficiently structured.  These dimensions are critical for ensuring that the datasets are not only available and current but also understandable, efficiently structured, and high-performing. 	0	0	0		0						
Co_5	What are the dimensions performing better in September 2025?	License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability	The dimensions that are performing better in September 2025 are:  1. **Performance**: This dimension has a higher score indicating better performance. 2. **Interlinking**: This dimension shows improved interlinking completeness and other related metrics. 3. **Uses RDF structures**: This dimension indicates better usage of RDF structures, which is beneficial for interoperability and data integration. 4. **Extensional conciseness**: This dimension shows improvements in how concisely the data is represented externally. 5. **Intensional conciseness**: This dimension indicates better internal consistency and clarity within the dataset. 6. **Interpretability score**: Higher scores in this dimension suggest better interpretability and understanding of the data. 7. **Availability score**: Improved availability scores indicate better accessibility and reliability of the data. 8. **Accuracy score**: Higher accuracy scores suggest more precise and reliable data. 9. **Believability score**: Improved believability scores indicate higher trustworthiness and credibility of the data. 10. **Completeness score**: Better completeness scores suggest more comprehensive and thorough data coverage.  These dimensions show notable improvements in various aspects of data quality and usability, indicating better overall performance and reliability of the datasets in September 2025.	0	0	0		0						
E&D_1	Why is the availability score equals to 1 for the DBLP dataset?	Because all the metrics in the availability dimension can be correctly computed	The availability score for the DBLP dataset is 1 because it meets the criteria for high availability. This includes factors such as the availability of RDF dumps, the presence of a SPARQL endpoint, and the use of HTTPS for secure communication. These elements contribute to the dataset being highly accessible and reliable, leading to an availability score of 1.	0	0,5	0,5		0,5						
E&D_1	Why does the DBLP dataset have an availability score of 1?	Because all the metrics in the availability dimension can be correctly computed	The DBLP dataset has an availability score of 1 because it meets the criteria for being highly available. This includes factors such as having a high availability of RDF dump, being accessible via a SPARQL endpoint, and having a high percentage of triples linked. Additionally, the dataset is registered in search engines and has a high score for metadata availability via standard primary sources. These factors contribute to its high availability score. 	0,5	0,5	0,5		0,5						
E&D_2	Does a score of amount of data equals to 0 mean that the dataset is empty?	No, it means that the amount of data cannot be computed via the SPARQL endpoint and it is not declared in the metadata.	No, a score of 0 for the amount of data dimension means that the dataset has no data points. However, it does not necessarily mean that the dataset is empty; it could also indicate issues with data availability or completeness.	0	0	0		0						
E&D_2	If the amount-of-data score is 0, does that mean the dataset contains no data?	No, it means that the amount of data cannot be computed via the SPARQL endpoint and it is not declared in the metadata.	No, an amount-of-data score of 0 indicates that the dataset has the lowest possible amount of data according to the specific metrics used to calculate the score. It does not necessarily mean that the dataset contains no data, but rather that it has minimal data based on the evaluated dimensions.	0	0	0		0						
E&D_3	When the availability score is 1, does it mean that both the SPARQL endpoint and the data dump are working?	Yes	 Yes, when the availability score is 1, it means that both the SPARQL endpoint and the data dump are working.	1	1	1		1						
E&D_3	if the availability score is 1, does that mean both the SPARQL endpoint and the data dump are up?	Yes	 Yes, an availability score of 1 indicates that both the SPARQL endpoint and the data dump are operational.	1	1	1		1						
E&D_4	if license is set to 1, does it mean that an open license is used?	No, it means that a license is specified	Yes, if the license is set to 1, it means that an open license is used. This typically indicates that the dataset is freely available for use, modification, and distribution under the terms specified by the license.	0	0	0		0						
E&D_4	If license is set to 1, does it mean that an open license is used?	No, it means that a license is specified	 Yes, if the license is set to 1, it means that an open license is used.	0	0	0		0						
E&D_5	If verifiability is set to 1, does it mean that all information about providers are set?	Yes	No, the "Verifiability" metric specifically refers to the ability to verify the information provided by the dataset. It does not necessarily mean that all information about providers is set, but rather that the dataset has mechanisms in place to verify the information it provides. This could include digital signatures, checksums, or other forms of verification.	0	0	0		0						
E&D_5	If the verifiability score is 1, does it mean that all provider information is available?	Yes	 Yes, if the verifiability score is 1, it means that all provider information is available. 	1	1	1		1						
														
														
														
														
														
Total	Total (A1)	Total (A2)	IR (All)	IR (A1)	IR (A2)	TA (All)	TA (A1)	TA (A2)	Co (All)	Co (A1)	Co (A2)	E&D (All)	E&D (A1)	E&D (A2)
0,3375	0,3	0,375	0,5	0,6	0,4	0,35	0,3	0,4	0,1	0	0,2	0,4	0,3	0,5
